╭─────────────────────────────────────────┬─────────────────────────────────────────┬─────────────────────────────────────────┬─────────────────────────────────────────╮
│                      balance_lp_staging │                           applcants_fix │           social_security_number_last_4 │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                    spouse_address_line1 │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                    spouse_address_line2 │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                             spouse_city │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                       spouse_first_name │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                        spouse_last_name │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                            spouse_state │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                              state_code │                                       1 │
│                      balance_lp_staging │                           applcants_fix │                       user_agent_string │                                       1 │
│                      balance_lp_staging │                        applicants_delta │                              first_name │                                       1 │
│                      balance_lp_staging │                        applicants_delta │                               last_name │                                       1 │
│                      balance_lp_staging │                        applicants_delta │                  social_security_number │                                       1 │
│                      balance_lp_staging │                        applicants_delta │                                     ssn │                                       1 │
│                      balance_lp_staging │                        applicants_delta │                              state_code │                                       1 │
│                      balance_lp_staging │                        apps_not_matched │                               bank_name │                                       1 │
│                      balance_lp_staging │                        apps_not_matched │                           email_address │                                       1 │
│                      balance_lp_staging │                        apps_not_matched │                           employer_name │                                       1 │
│                      balance_lp_staging │                        apps_not_matched │                              first_name │                                       1 │
│                      balance_lp_staging │                        apps_not_matched │                              ip_address │                                       1 │
│                      balance_lp_staging │                        apps_not_matched │                               last_name │                                       1 │
│                      balance_lp_staging │                        apps_not_matched │                         name_on_account │                                       1 │
│                      balance_lp_staging │                        apps_not_matched │                       primary_addr_city │                                       1 │
│                      balance_lp_staging │                        apps_not_matched │                        spouse_addr_city │                                       1 │
│                      balance_lp_staging │                        apps_not_matched │                       spouse_first_name │                                       1 │
│                      balance_lp_staging │                        apps_not_matched │                        spouse_last_name │                                       1 │
│                      balance_lp_staging │                        apps_not_matched │                                     ssn │                                       1 │
│                      balance_lp_staging │                   customer_entity_delta │                         access_password │                                       1 │
│                      balance_lp_staging │                   customer_entity_delta │                         access_username │                                       1 │
│                      balance_lp_staging │                   customer_entity_delta │                            company_name │                                       1 │
│                      balance_lp_staging │                   customer_entity_delta │                            contact_name │                                       1 │
